路線ID,路線コード,路線名_日本語,路線名_英語,駅ID,駅コード,駅の並び,駅名_日本語,駅名_英語,エレベータID,停止階,設置場所,緯度,経度,重量制限,点検時間帯,点検日,点検開始時間,点検終了時間,バリアフリー1ルート用
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Magome,A-02,2,馬込,Magome,A-02_01,1F～B1F,A3地上出入口～改札口,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Magome,A-02,2,馬込,Magome,A-02_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Nakanobu,A-03,3,中延,Nakanobu,A-03_01,1F～B1F,A4地上出入口～改札口,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Nakanobu,A-03,3,中延,Nakanobu,A-03_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Togoshi,A-04,4,戸越,Togoshi,A-04_01,1F～B1F,A2地上出入口～改札口,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Togoshi,A-04,4,戸越,Togoshi,A-04_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Gotanda,A-05,5,五反田,Gotanda,A-05_01,1F～B1F,A3地上出入口～改札口,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Gotanda,A-05,5,五反田,Gotanda,A-05_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Takanawadai,A-06,6,高輪台,Takanawadai,A-06_01,1F～B1F,A1地上出入口～改札口,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Sengakuji,A-07,7,泉岳寺,Sengakuji,A-07_01,1F～B1F,A2地上出入口～改札口,,,750,daytime,2023/1/17,10:00,16:00,FALSE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Mita,A-08,8,三田,Mita,A-08_01,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Daimon,A-09,9,大門,Daimon,A-09_01,B1F～B3F,１番線改札口～連絡通路,,,750,daytime,2023/1/24,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Daimon,A-09,9,大門,Daimon,A-09_02,B1F～B3F,２番線改札口～連絡通路,,,750,daytime,2023/1/24,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Daimon,A-09,9,大門,Daimon,A-09_03,1F～B1F,A1地上出入口～１番線改札口(浅草線),,,1000,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Shimbashi,A-10,10,新橋,Shimbashi,A-10_01,B1F～B2F,改札口～１番線ホーム,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Shimbashi,A-10,10,新橋,Shimbashi,A-10_02,B1F～B2F,改札口～２番線ホーム,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.HigashiGinza,A-11,11,東銀座,Higashi-ginza,A-11_01,1F～B1F,A1地上出入口～２番線改札口,,,750,daytime,2023/1/6,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Takaracho,A-12,12,宝町,Takaracho,A-12_01,1F～B1F,A8地上出入口～１番線改札口,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Takaracho,A-12,12,宝町,Takaracho,A-12_02,1F～B1F,A7地上出入口～２番線改札口,,,750,daytime,2023/1/6,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Nihombashi,A-13,13,日本橋,Nihombashi,A-13_01,B2F～B3F,１番線改札口～連絡通路,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Ningyocho,A-14,14,人形町,Ningyocho,A-14_01,1F～B1F,A6地上出入口～改札口,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Ningyocho,A-14,14,人形町,Ningyocho,A-14_02,B1F～B2F,明治座・人形町交差点（西側）改札口～ホーム(西馬込方）,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Ningyocho,A-14,14,人形町,Ningyocho,A-14_03,B1F～B2F,明治座・人形町交差点（東側）改札口～ホーム(押上方）,,,750,daytime,2023/1/16,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.HigashiNihombashi,A-15,15,東日本橋,Higashi-nihombashi,A-15_01,1F～B1F,B1地上出入口～１番線改札口,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Asakusabashi,A-16,16,浅草橋,Asakusabashi,A-16_01,1F～B1F,A1地上出入口～改札口,,,750,daytime,2023/1/16,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Asakusabashi,A-16,16,浅草橋,Asakusabashi,A-16_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Kuramae,A-17,17,蔵前,Kuramae,A-17_01,1F～B1F,A1地上出入口～１番線改札口,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Kuramae,A-17,17,蔵前,Kuramae,A-17_02,1F～B1F,A0地上出入口～２番線改札口,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Asakusa,A-18,18,浅草,Asakusa,A-18_01,B3F～B4F,改札口～１番線ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Asakusa,A-18,18,浅草,Asakusa,A-18_02,B3F～B4F,改札口～２番線ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.Asakusa,A-18,18,浅草,Asakusa,A-18_03,1F～B3F,A2b地上出入口～改札口,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.HonjoAzumabashi,A-19,19,本所吾妻橋,Honjo-azumabashi,A-19_01,1F～B1F,A0地上出入口～１番線改札口(年点検）,,,750,daytime,2023/1/19,10:00,16:00,TRUE
Toei.Asakusa,A,浅草線,Asakusa Line,Toei.Asakusa.HonjoAzumabashi,A-19,19,本所吾妻橋,Honjo-azumabashi,A-19_02,1F～B1F,A5地上出入口～２番線改札口(月点検）,,,750,daytime,2023/1/19,10:00,16:00,TRUE
Toei.Oedo,E,大江戸線,Oedo Line,Toei.Oedo.ShinjukuNishiguchi,E-01,1,新宿西口,Shinjuku-nishiguchi,E-01_01,BM1F～B1F～B3F,D2出口乗換通路～連絡ホール～改札口,,,750,daytime,2023/1/19,10:00,16:00,TRUE
